DIVANO,LANDFILL,LARGE,
ELASTICI,GENERIC,,
ELETTRODOMESTICI,LANDFILL,LARGE,
ERBA,LANDFILL,GREEN,
ESCREMENTI DI ANIMALI DOMESTICI,HUMID,,
ETERNIT,SPECIALIZED,,
ETICHETTE ADESIVE,GENERIC,,
EVIDENZIATORI,GENERIC,,
FARINACEI IN GENERE,HUMID,,
FARMACI SCADUTI,MEDICAL,,
FASCIATOIO,LANDFILL,LARGE,
FAZZOLETTI DI CARTA,HUMID,,
FELTRINI,GENERIC,,
FERRO DA STIRO,LANDFILL,LARGE,
FIAMMIFERI IN LEGNO,HUMID,,
FILI ELETTRICI,LANDFILL,LARGE,
FILM IN PLASTIC (cellophane ad uso domestico),PLASTIC,,
FILO INTERDENTALE,GENERIC,,
FILTRI TE’, CAFFE’, CAMOMILLA, TISANE,HUMID,,
FIORI FINTI,GENERIC,,
FIORI RECISI,HUMID,GREEN,
FLOPPY DISK,GENERIC,,
FOGLI CARTA O CARTONE,PAPER,,
FOGLIE,HUMID,GREEN,
FORBICI,GLASS,,
FOTOGRAFIE,GENERIC,,
FRIGGITRICE,LANDFILL,LARGE,
FRIGORIFERI,LANDFILL,LARGE,
FRULLATORE,LANDFILL,LARGE,
FRUTTA (AVANZI),HUMID,,
GARZE (uso domestico),GENERIC,,
GIOCATTOLI,LANDFILL,LARGE,
GIORNALI,PAPER,,
GIRELLO PER BAMBINI,LANDFILL,LARGE,
GOMMA,GENERIC,,
GOMMAPIUMA,GENERIC,,
GOMMA PER CANCELLARE,GENERIC,,
GRUCCIA APPENDIABITI IN PLASTIC,PLASTIC,,
GUANTI IN GOMMA PER PULIZIE,GENERIC,,
GUARNIZIONI,GENERIC,,
GUSCI DI FRUTTA SECCA E UOVA,HUMID,,
GUSCI DI CROSTACEI E MOLLUSCHI (cozze,vongole,ecc.),HUMID,,
IMBALLAGGI IN PAPER (grandi dimensioni),LANDFILL,,
IMBALLAGGI IN PAPER (piccole dimensioni),PAPER,,
IMBALLAGGI IN METALLO (fusti),LANDFILL,,
IMBALLAGGI IN PLASTIC,PLASTIC,,
IMBALLAGGI IN POLISTIROLO,PLASTIC,,
IMPREGNANTI PER LEGNO,LANDFILL,,
INCARTI BRIOCHES,PLASTIC,,
INERTI,CONTATTARE DITTA SPECIALIZZATA,,
INSETTICIDI CON RESIDUI,LANDFILL,,
LACCA PER CAPELLI (contenitore),GLASS,,
LACCI PER SCARPE,CONTENITORI STRADALI INDUMENTI,,
LAMETTE USA E GETTA,GENERIC,,
LAMPADARI,LANDFILL,LARGE,
LAMPADINE AD INCANDESCENZA,GENERIC,,
LAMPADINE A RISPARMIO ENERGETICO,LANDFILL,,
LASTRE MEDICHE RADIOGRAFICHE,GENERIC,,
LASTRE IN VETRO (grandi dimensioni),LANDFILL,LARGE,
LATTINE VARIE PER ALIMENTI, BEVANDE (alluminio e banda stagnata),GLASS,,
LAVASTOVIGLIE,LANDFILL,LARGE,
LAVATRICE,LANDFILL,LARGE,
LETTIERA PER ANIMALI (naturale),HUMID,,
LETTIERA PER ANIMALI (sintetica),GENERIC,,
LIBRI,PAPER,,
LISCHE DI PESCE,HUMID,,
LUCIDO DA SCARPE,GENERIC,,
MATERASSI,LANDFILL,LARGE,
MATITE,GENERIC,,
MEDICINALI SCADUTI,MEDICAL,,
MENSOLE IN LEGNO,LANDFILL,LARGE,
MOBILI IN LEGNO,LANDFILL,LARGE,
MOLLETTE PER BUCATO,GENERIC,,
MONITOR E SCHERMI,LANDFILL,LARGE,
MOUSE,LANDFILL,LARGE,
MOZZICONI DI SIGARETTA E SIGARI,GENERIC,,
